"Year","Females","Males","Indeterminate/intersex/other"
2015,235339,168029,46
2016,241169,169817,242
2017,246542,169436,393
2018,244889,164015,466
2019,245541,162093,568
2020,273468,175383,839
2021,271741,173527,1541
2022,245086,153411,1804
2023,241581,152269,2221
2024,252590,158103,2440
