"Category","Profit Margin","Change"
2012,7.8,0.3
2013,7.9,0.7
2014,7,-1
2015,5.9,-0.2
2016,5.3,0.5
2017,6.4,1.7
2018,4.5,-3
2019,6.5,3.9
2020,2,-6.5
2021,14.1,16.6
2022,-3.6,-29.8
2023,4.9,26.2
2024,3.9,-9.5
2025,3.1,0.2
