"Category","Annual Revenue ($bn)","Change"
2012,34.2,4.8
2013,35.8,4.5
2014,37.1,3.7
2015,38.8,4.5
2016,41.1,6.1
2017,41.9,1.8
2018,44,5.2
2019,44.3,0.5
2020,42.6,-3.8
2021,43.7,2.6
2022,40.1,-8.2
2023,38.4,-4.2
2024,39,1.5
2025,38.8,-0.6
