state,lon,lat,label
New South Wales,147,-33,NSW
Victoria,144,-37,VIC
Queensland,146,-21,QLD
South Australia,135,-30,SA
Western Australia,121,-26,WA
Tasmania,147,-42,TAS
Northern Territory,133,-20,NT
Australian Capital Territory,149,-35,ACT
